iddomicilio;calle;altura;entrecalle1;entrecalle2;idbarrio
1872;AV DE LOS CONSTITUYE;990;AV BELISARIO ROLDAN ;AV CABILDO          ;3
1873;AV COMODORO PY      ;3818;AV 9 DE JULIO       ;AV CDORO MARTIN RIVA;8
1874;AV CORBETA URUGUAY  ;4807;AV BOYACA           ;AV DEL FOMENTISTA   ;12
1875;AV 27 DE FEBRERO    ;1193;AV CRISOLOGO LARRALD;AV CNL DIAZ         ;2
1876;AV ALBARELLOS       ;2447;AV COBO             ;AV DE MAYO          ;7
1877;AV CDORO MARTIN RIVA;2865;AV 9 DE JULIO       ;AV COLOMBIA         ;4
1878;AV CURAPALIGUE      ;4847;AV COSTANERA RAFAEL ;AV BOEDO            ;7
1879;AV DIRECTORIO       ;4418;AV CURAPALIGUE      ;AV CNL DIAZ         ;9
1880;AV CRISOLOGO LARRALD;186;AV DE LAS CABALLERIZ;AV DEL FOMENTISTA   ;13
1881;AV CALLAO           ;4841;AV CORBETA URUGUAY  ;AV DIAZ VELEZ       ;14
1882;AV AMANCIO ALCORTA  ;565;AV ARGENTINA        ;AV ARGENTINA        ;14
1883;AV DEL LIBERTADOR   ;4679;AV 9 DE JULIO       ;AV ARGENTINA        ;2
1884;AV DEL BARCO CENTENE;3775;AV 27 DE FEBRERO    ;AV COSTANERA RAFAEL ;8
1885;AV COSTANERA RAFAEL ;3436;AV 27 DE FEBRERO    ;AV COBO             ;12
1886;AV ASTURIAS         ;42;AV ASAMBLEA         ;AV COMODORO PY      ;14
1887;AV CASARES          ;1167;AV ASAMBLEA         ;AV DE LOS CORRALES  ;12
1888;AV CURAPALIGUE      ;4757;AV DEL BARCO CENTENE;AV BELISARIO ROLDAN ;8
1889;AV COMODORO PY      ;1198;AV CASEROS          ;AV DE LOS ITALIANOS ;4
1890;AV DE MAYO          ;3382;AV ALVEAR           ;AV CHORROARIN       ;6
1891;AV ALVAREZ JONTE BAJ;3964;AV CABILDO          ;AV DE LAS CABALLERIZ;13
1892;AV CABILDO          ;4975;AV CARABOBO         ;AV CALLAO           ;2
1893;AV CORDOBA          ;3288;AV CHICLANA         ;AV CARABOBO         ;5
1894;AV DE LOS INCAS     ;634;AV DEL BARCO CENTENE;AV AMANCIO ALCORTA  ;13
1895;AV CALLAO           ;281;AV DE LOS CONSTITUYE;AV DE LOS ITALIANOS ;3
1896;AV DIRECTORIO       ;4272;AV CASEROS          ;AV ALBARELLOS       ;11
1897;AV ADOLFO BERRO     ;4847;AV DEL FOMENTISTA   ;AV DE LAS CABALLERIZ;8
1898;AV COMODORO PY      ;2458;AV CASEROS          ;AV CNL DIAZ         ;4
1899;AV ALVEAR           ;749;AV AVELLANEDA       ;AV DE LOS CORRALES  ;12
1900;AV CASARES          ;1176;AV DE LA RABIDA     ;AV ALVAREZ THOMAS   ;1
1901;AV BOYACA           ;3460;AV BOYACA           ;AV DE LAS CABALLERIZ;6
1902;AV DE LOS INCAS     ;1408;AV CDORO MARTIN RIVA;AV CNL CARDENAS     ;8
1903;AV ARGENTINA        ;4937;AV BOYACA           ;AV CARLOS J FINLAY  ;11
1904;AV DE LOS INMIGRANTE;4290;AV CORRIENTES       ;AV BOYACA           ;5
1905;AV ALVAREZ JONTE BAJ;1636;AV CNL NICETO VEGA  ;AV 27 DE FEBRERO    ;14
1906;AV CORBETA URUGUAY  ;3550;AV ALVEAR           ;AV BRUIX            ;12
1907;AV CARLOS J FINLAY  ;3180;AV BOYACA           ;AV ALBARELLOS       ;5
1908;AV CALLAO           ;3041;AV DEL FOMENTISTA   ;AV ALBARELLOS       ;14
1909;AV CARABOBO         ;1571;AV AVELLANEDA       ;AV ALVAREZ JONTE    ;6
1910;AV DERQUI           ;1090;AV CNL DIAZ         ;AV CNL ROCA         ;5
1911;AV CURAPALIGUE      ;3616;AV ALVEAR           ;AV CORRIENTES       ;8
1912;AV CANONIGO MIGUEL C;4133;AV CANONIGO MIGUEL C;AV CANONIGO MIGUEL C;2
1913;AV ALMTE BROWN      ;642;AV COLOMBIA         ;AV CANONIGO MIGUEL C;10
1914;AV CORRIENTES       ;1582;AV BELGRANO         ;AV CASEROS          ;9
1915;AV DEL CAMPO        ;184;AV 9 DE JULIO       ;AV ASAMBLEA         ;3
1916;AV ALVAREZ THOMAS   ;1400;AV CARLOS J FINLAY  ;AV BOYACA           ;4
1917;AV COBO             ;2284;AV BOEDO            ;AV BOEDO            ;6
1918;AV CHORROARIN       ;1;AV CORRIENTES       ;AV DE LOS CORRALES  ;10
1919;AV DEL CAMPO        ;296;AV CARLOS J FINLAY  ;AV CURAPALIGUE      ;10
1920;AV CARABOBO         ;3387;AV CORBETA URUGUAY  ;AV ARGENTINA        ;1
1921;AV AVELLANEDA       ;508;AV CDORO MARTIN RIVA;AV ASTURIAS         ;7
1922;AV CRISOLOGO LARRALD;2137;AV DE LAS CABALLERIZ;AV CORDOBA          ;1
1923;AV COBO             ;2391;AV DE LA RABIDA     ;AV 27 DE FEBRERO    ;6
1924;AV CASARES          ;3959;AV ASAMBLEA         ;AV COBO             ;11
1925;AV BELISARIO ROLDAN ;3905;AV BELGRANO         ;AV DE LOS CONSTITUYE;3
1926;AV CARABOBO         ;2250;AV CANONIGO MIGUEL C;AV CARLOS J FINLAY  ;6
1927;AV DE LOS INMIGRANTE;4962;AV BELGRANO         ;AV CORDOBA          ;3
1928;AV BRUIX            ;1257;AV DE MAYO          ;AV DIAZ VELEZ       ;2
1929;AV DE LA RABIDA     ;4307;AV DEL CAMPO        ;AV CNL ROCA         ;1
1930;AV DERQUI           ;997;AV BRUIX            ;AV BELISARIO ROLDAN ;14
1931;AV CARABOBO         ;4980;AV COLOMBIA         ;AV COSTANERA RAFAEL ;6
1932;AV 9 DE JULIO       ;3936;AV DEL BARCO CENTENE;AV CANONIGO MIGUEL C;11
1933;AV ALVAREZ JONTE    ;779;AV ALBARELLOS       ;AV CARLOS J FINLAY  ;7
1934;AV DE LOS ITALIANOS ;2419;AV CORBETA URUGUAY  ;AV 9 DE JULIO       ;14
1935;AV CNL DIAZ         ;3952;AV AVELLANEDA       ;AV DE LAS CABALLERIZ;8
1936;AV COSTANERA INT HER;2666;AV ALVAREZ THOMAS   ;AV 9 DE JULIO       ;6
1937;AV 27 DE FEBRERO    ;35;AV DARACT           ;AV DARACT           ;14
1938;AV BELISARIO ROLDAN ;2645;AV DE MAYO          ;AV ALVAREZ JONTE BAJ;7
1939;AV CNL ROCA         ;1350;AV CORDOBA          ;AV ALBARELLOS       ;4
1940;AV CDORO MARTIN RIVA;544;AV CNL CARDENAS     ;AV DIRECTORIO       ;7
1941;AV AVELLANEDA       ;3096;AV COSTANERA RAFAEL ;AV CNL ROCA         ;2
1942;AV DE LOS INCAS     ;2903;AV BRUIX            ;AV CABILDO          ;9
1943;AV CURAPALIGUE      ;256;AV DIAZ VELEZ       ;AV CNL CARDENAS     ;6
1944;AV BOEDO            ;4034;AV CDORO MARTIN RIVA;AV CNL ROCA         ;11
1945;AV CURAPALIGUE      ;2316;AV DIRECTORIO       ;AV CHORROARIN       ;1
1946;AV BOYACA           ;574;AV ADOLFO BERRO     ;AV BELISARIO ROLDAN ;4
1947;AV CARABOBO         ;530;AV ALVEAR           ;AV CABILDO          ;3
1948;AV ALMTE BROWN      ;2659;AV BOEDO            ;AV CNL CARDENAS     ;9
1949;AV CORRIENTES       ;2898;AV ASAMBLEA         ;AV CRISOLOGO LARRALD;4
1950;AV COMODORO PY      ;2083;AV DE LOS INCAS     ;AV CRISOLOGO LARRALD;9
1951;AV CORRIENTES       ;3115;AV ADOLFO BERRO     ;AV BOYACA           ;9
1952;AV DE LAS CABALLERIZ;318;AV CASEROS          ;AV CHICLANA         ;6
1953;AV DE LOS ITALIANOS ;1524;AV DEL FOMENTISTA   ;AV CARABOBO         ;1
1954;AV DEL FOMENTISTA   ;2841;AV CASARES          ;AV COSTANERA RAFAEL ;10
1955;AV DEL LIBERTADOR   ;4324;AV 27 DE FEBRERO    ;AV CNL NICETO VEGA  ;2
1956;AV DEL LIBERTADOR   ;2931;AV ASAMBLEA         ;AV CANONIGO MIGUEL C;7
1957;AV CHORROARIN       ;3426;AV DIRECTORIO       ;AV BELGRANO         ;3
1958;AV ALVAREZ JONTE BAJ;2142;AV ADOLFO BERRO     ;AV ALBARELLOS       ;2
1959;AV CARLOS J FINLAY  ;190;AV ASTURIAS         ;AV DE LAS CABALLERIZ;3
1960;AV ASAMBLEA         ;4732;AV ALBARELLOS       ;AV CORBETA URUGUAY  ;12
1961;AV CDORO MARTIN RIVA;3902;AV DE LAS CABALLERIZ;AV ARGENTINA        ;5
1962;AV ASAMBLEA         ;3568;AV DEL CAMPO        ;AV CNL CARDENAS     ;8
1963;AV BOYACA           ;3545;AV ALVAREZ JONTE BAJ;AV DE LOS ITALIANOS ;11
1964;AV CABILDO          ;3774;AV DIAZ VELEZ       ;AV CORRIENTES       ;7
1965;AV AMANCIO ALCORTA  ;3263;AV COLOMBIA         ;AV ARGENTINA        ;10
1966;AV 9 DE JULIO       ;2597;AV ASAMBLEA         ;AV CNL ROCA         ;12
1967;AV CORBETA URUGUAY  ;532;AV DE LOS CORRALES  ;AV CHORROARIN       ;9
1968;AV COBO             ;169;AV DEL BARCO CENTENE;AV ALBARELLOS       ;5
1969;AV CRISOLOGO LARRALD;1609;AV ASAMBLEA         ;AV BELGRANO         ;6
1970;AV DEL CAMPO        ;586;AV BOYACA           ;AV CASEROS          ;11
1971;AV CNL DIAZ         ;3411;AV COLOMBIA         ;AV COBO             ;13
1972;AV BELISARIO ROLDAN ;4279;AV ALVAREZ THOMAS   ;AV CABILDO          ;8
1973;AV DE LA RABIDA     ;849;AV DE LOS CORRALES  ;AV COMODORO PY      ;11
1974;AV DEL BARCO CENTENE;3720;AV COLOMBIA         ;AV ARGENTINA        ;7
1975;AV DE LOS ITALIANOS ;4948;AV ASAMBLEA         ;AV BRUIX            ;6
1976;AV CALLAO           ;4503;AV BELGRANO         ;AV AMANCIO ALCORTA  ;7
1977;AV ALBARELLOS       ;4106;AV ALVAREZ JONTE    ;AV CNL ROCA         ;12
1978;AV BOYACA           ;4948;AV DE LOS CORRALES  ;AV DE MAYO          ;11
1979;AV DERQUI           ;1162;AV COSTANERA INT HER;AV 27 DE FEBRERO    ;5
1980;AV ALMTE BROWN      ;367;AV CORBETA URUGUAY  ;AV BELGRANO         ;14
1981;AV COSTANERA INT HER;3892;AV COLOMBIA         ;AV CASARES          ;10
1982;AV CANONIGO MIGUEL C;293;AV DE MAYO          ;AV CNL ROCA         ;9
1983;AV COSTANERA RAFAEL ;2987;AV ALVAREZ JONTE BAJ;AV CHICLANA         ;3
1984;AV DERQUI           ;4361;AV DE MAYO          ;AV BOEDO            ;2
1985;AV CORDOBA          ;3359;AV 27 DE FEBRERO    ;AV DE LOS CORRALES  ;2
1986;AV BELGRANO         ;3043;AV CANONIGO MIGUEL C;AV COLOMBIA         ;6
1987;AV COSTANERA RAFAEL ;922;AV COMODORO PY      ;AV DE LA RABIDA     ;12
1988;AV CNL NICETO VEGA  ;1632;AV BRUIX            ;AV 27 DE FEBRERO    ;1
1989;AV CNL ROCA         ;1052;AV CASEROS          ;AV DARACT           ;13
1990;AV CALLAO           ;2622;AV CHORROARIN       ;AV DEL LIBERTADOR   ;13
1991;AV COSTANERA INT HER;3933;AV CORRIENTES       ;AV DEL FOMENTISTA   ;11
1992;AV DE LOS CONSTITUYE;774;AV CARLOS J FINLAY  ;AV DE LOS CORRALES  ;8
1993;AV DIAZ VELEZ       ;7;AV BOEDO            ;AV AVELLANEDA       ;8
1994;AV ASTURIAS         ;4649;AV 27 DE FEBRERO    ;AV ALVEAR           ;12
1995;AV DEL FOMENTISTA   ;2479;AV COBO             ;AV ASTURIAS         ;10
1996;AV DE LOS INCAS     ;4458;AV DE LOS CONSTITUYE;AV COBO             ;6
1997;AV BRUIX            ;1952;AV CARABOBO         ;AV CHICLANA         ;6
1998;AV CARABOBO         ;1310;AV CNL CARDENAS     ;AV BOEDO            ;1
1999;AV CANONIGO MIGUEL C;2878;AV DE MAYO          ;AV BOYACA           ;6
2000;AV BRUIX            ;1618;AV DEL CAMPO        ;AV COLOMBIA         ;12
2001;AV CASARES          ;1137;AV DEL FOMENTISTA   ;AV DEL LIBERTADOR   ;10
2002;AV 9 DE JULIO       ;1881;AV CORBETA URUGUAY  ;AV ALVAREZ JONTE BAJ;10
2003;AV DE LOS CONSTITUYE;3585;AV DEL CAMPO        ;AV CHICLANA         ;1
2004;AV CASEROS          ;1451;AV COMODORO PY      ;AV COMODORO PY      ;13
2005;AV CNL NICETO VEGA  ;4344;AV DEL FOMENTISTA   ;AV DE LOS ITALIANOS ;8
2006;AV ALVAREZ JONTE    ;451;AV DE LOS CONSTITUYE;AV BOEDO            ;6
2007;AV CARABOBO         ;2871;AV CHICLANA         ;AV ASTURIAS         ;14
2008;AV BOEDO            ;3249;AV DIRECTORIO       ;AV COSTANERA INT HER;11
2009;AV DE MAYO          ;4395;AV CARABOBO         ;AV DE MAYO          ;11
2010;AV BELGRANO         ;3138;AV DEL LIBERTADOR   ;AV BELGRANO         ;13
2011;AV DIAZ VELEZ       ;3155;AV DEL LIBERTADOR   ;AV COBO             ;3
2012;AV BOEDO            ;2866;AV DEL FOMENTISTA   ;AV ADOLFO BERRO     ;13
2013;AV DE LOS CORRALES  ;2212;AV CORBETA URUGUAY  ;AV COSTANERA INT HER;7
2014;AV AVELLANEDA       ;1651;AV BRUIX            ;AV COSTANERA INT HER;7
2015;AV ALVAREZ JONTE BAJ;4158;AV COLOMBIA         ;AV ALMAFUERTE       ;1
2016;AV ALMTE BROWN      ;3816;AV ALVEAR           ;AV DEL FOMENTISTA   ;9
2017;AV CNL CARDENAS     ;1203;AV 9 DE JULIO       ;AV CABILDO          ;12
2018;AV CNL NICETO VEGA  ;2432;AV DEL FOMENTISTA   ;AV ALVAREZ JONTE    ;10
2019;AV ALVEAR           ;3031;AV ALMAFUERTE       ;AV ALBARELLOS       ;7
2020;AV BELISARIO ROLDAN ;4650;AV DE LOS CORRALES  ;AV CNL DIAZ         ;12
2021;AV ALVEAR           ;461;AV ALVAREZ JONTE BAJ;AV DEL FOMENTISTA   ;5
2022;AV DARACT           ;3401;AV DE LA RABIDA     ;AV DEL LIBERTADOR   ;8
2023;AV CNL NICETO VEGA  ;2671;AV DE LAS CABALLERIZ;AV DE LOS ITALIANOS ;9
2024;AV CARABOBO         ;4538;AV ALVAREZ JONTE BAJ;AV CALLAO           ;10
2025;AV COSTANERA INT HER;1875;AV DE LOS CORRALES  ;AV ALVEAR           ;13
2026;AV CARABOBO         ;2362;AV DIAZ VELEZ       ;AV DEL LIBERTADOR   ;8
2027;AV CHICLANA         ;3551;AV ALMTE BROWN      ;AV CANONIGO MIGUEL C;10
2028;AV ARGENTINA        ;2017;AV CNL CARDENAS     ;AV CORBETA URUGUAY  ;2
2029;AV DEL LIBERTADOR   ;1044;AV 9 DE JULIO       ;AV CARLOS J FINLAY  ;3
2030;AV AMANCIO ALCORTA  ;3657;AV CORBETA URUGUAY  ;AV AVELLANEDA       ;5
2031;AV CARLOS J FINLAY  ;3627;AV ARGENTINA        ;AV ASTURIAS         ;4
2032;AV DE LA RABIDA     ;3459;AV DE LOS CONSTITUYE;AV CARLOS J FINLAY  ;14
2033;AV DARACT           ;1760;AV CORBETA URUGUAY  ;AV DARACT           ;5
2034;AV CDORO MARTIN RIVA;1922;AV ALVAREZ THOMAS   ;AV ALVAREZ JONTE BAJ;8
2035;AV ASAMBLEA         ;1856;AV ADOLFO BERRO     ;AV ALVAREZ JONTE BAJ;3
2036;AV BRUIX            ;1581;AV CRISOLOGO LARRALD;AV ADOLFO BERRO     ;13
2037;AV DE LOS CORRALES  ;2817;AV ALMAFUERTE       ;AV ALBARELLOS       ;7
2038;AV DE LOS CONSTITUYE;39;AV 9 DE JULIO       ;AV ALMTE BROWN      ;14
2039;AV CORDOBA          ;546;AV CASARES          ;AV ALVAREZ JONTE BAJ;12
2040;AV CORBETA URUGUAY  ;4415;AV CHORROARIN       ;AV CORBETA URUGUAY  ;9
2041;AV CNL DIAZ         ;3364;AV CASEROS          ;AV CARLOS J FINLAY  ;2
2042;AV DIAZ VELEZ       ;1041;AV ALMAFUERTE       ;AV CORBETA URUGUAY  ;12
2043;AV DE MAYO          ;4993;AV CDORO MARTIN RIVA;AV BRUIX            ;1
2044;AV CRISOLOGO LARRALD;792;AV COSTANERA RAFAEL ;AV 27 DE FEBRERO    ;8
2045;AV ALVAREZ JONTE    ;3246;AV ALMTE BROWN      ;AV CNL NICETO VEGA  ;4
2046;AV DARACT           ;4720;AV DEL LIBERTADOR   ;AV CORRIENTES       ;7
2047;AV DE LOS CONSTITUYE;121;AV ALMAFUERTE       ;AV CHICLANA         ;13
2048;AV AMANCIO ALCORTA  ;4975;AV DE LOS ITALIANOS ;AV ALVAREZ JONTE BAJ;3
2049;AV ALMTE BROWN      ;729;AV AVELLANEDA       ;AV CANONIGO MIGUEL C;1
2050;AV CNL ROCA         ;3947;AV ASTURIAS         ;AV COSTANERA RAFAEL ;7
2051;AV BOYACA           ;3992;AV BELGRANO         ;AV DE LA RABIDA     ;10
2052;AV ADOLFO BERRO     ;4559;AV CRISOLOGO LARRALD;AV CORDOBA          ;3
2053;AV BELGRANO         ;4562;AV CANONIGO MIGUEL C;AV DE LAS CABALLERIZ;8
2054;AV ALMAFUERTE       ;1166;AV CNL DIAZ         ;AV DE LOS INCAS     ;3
2055;AV ALBARELLOS       ;454;AV BRUIX            ;AV CNL NICETO VEGA  ;4
2056;AV COLOMBIA         ;4133;AV ALMTE BROWN      ;AV ALMAFUERTE       ;14
2057;AV ASAMBLEA         ;800;AV DE LOS CONSTITUYE;AV CANONIGO MIGUEL C;7
2058;AV ALVAREZ JONTE BAJ;4293;AV DEL BARCO CENTENE;AV CURAPALIGUE      ;5
2059;AV CNL NICETO VEGA  ;2260;AV ARGENTINA        ;AV DE LOS INCAS     ;6
2060;AV AMANCIO ALCORTA  ;1141;AV BELISARIO ROLDAN ;AV ALMTE BROWN      ;10
2061;AV AVELLANEDA       ;4643;AV CNL CARDENAS     ;AV CRISOLOGO LARRALD;10
2062;AV DIRECTORIO       ;1719;AV ALMTE BROWN      ;AV DE LOS INMIGRANTE;12
2063;AV CDORO MARTIN RIVA;3052;AV CARABOBO         ;AV DE LOS CORRALES  ;2
2064;AV DEL CAMPO        ;3430;AV 27 DE FEBRERO    ;AV DARACT           ;8
2065;AV ALVAREZ THOMAS   ;892;AV CORBETA URUGUAY  ;AV CNL ROCA         ;1
2066;AV CNL DIAZ         ;454;AV ALVAREZ THOMAS   ;AV AMANCIO ALCORTA  ;10
2067;AV CNL NICETO VEGA  ;1536;AV CARLOS J FINLAY  ;AV CABILDO          ;14
2068;AV DEL CAMPO        ;4547;AV ALMTE BROWN      ;AV ALVAREZ JONTE    ;14
2069;AV CARABOBO         ;912;AV CNL ROCA         ;AV CNL CARDENAS     ;10
2070;AV DEL BARCO CENTENE;39;AV DE LOS CONSTITUYE;AV CALLAO           ;8
2071;AV CDORO MARTIN RIVA;1968;AV ALVAREZ JONTE BAJ;AV CORRIENTES       ;8
2072;AV CARLOS J FINLAY  ;715;AV DE LAS CABALLERIZ;AV ALVEAR           ;9
2073;AV ALVEAR           ;2305;AV CURAPALIGUE      ;AV CALLAO           ;1
2074;AV AMANCIO ALCORTA  ;4047;AV ALVAREZ JONTE BAJ;AV ASTURIAS         ;10
2075;AV ALBARELLOS       ;4143;AV ADOLFO BERRO     ;AV CDORO MARTIN RIVA;6
2076;AV ALVEAR           ;1039;AV ALMTE BROWN      ;AV DARACT           ;6
2077;AV CORRIENTES       ;1730;AV DEL CAMPO        ;AV CDORO MARTIN RIVA;13
2078;AV CORRIENTES       ;478;AV DE LOS CONSTITUYE;AV CHICLANA         ;10
2079;AV AVELLANEDA       ;1512;AV COSTANERA RAFAEL ;AV DE LOS CORRALES  ;12
2080;AV ASTURIAS         ;1574;AV ALVAREZ JONTE    ;AV CASEROS          ;10
2081;AV ALMTE BROWN      ;483;AV CHORROARIN       ;AV DE LOS INCAS     ;10
2082;AV ASAMBLEA         ;1230;AV COSTANERA RAFAEL ;AV DE LOS ITALIANOS ;8
2083;AV CHICLANA         ;1075;AV DE MAYO          ;AV BELISARIO ROLDAN ;1
2084;AV DIRECTORIO       ;3805;AV DE LOS ITALIANOS ;AV DE LOS CONSTITUYE;8
2085;AV DE LAS CABALLERIZ;4418;AV 27 DE FEBRERO    ;AV CDORO MARTIN RIVA;2
2086;AV DE LOS CORRALES  ;3829;AV CASEROS          ;AV COMODORO PY      ;7
2087;AV 27 DE FEBRERO    ;1188;AV CURAPALIGUE      ;AV COSTANERA RAFAEL ;8
2088;AV COSTANERA INT HER;1680;AV DARACT           ;AV AVELLANEDA       ;5
2089;AV AVELLANEDA       ;4103;AV CORDOBA          ;AV COMODORO PY      ;8
2090;AV DEL LIBERTADOR   ;3702;AV CNL CARDENAS     ;AV COSTANERA INT HER;11
2091;AV ARGENTINA        ;2758;AV COLOMBIA         ;AV COMODORO PY      ;4
2092;AV CHORROARIN       ;2829;AV BELISARIO ROLDAN ;AV COSTANERA INT HER;5
2093;AV BOEDO            ;3331;AV AVELLANEDA       ;AV CHORROARIN       ;14
2094;AV COMODORO PY      ;3951;AV BELGRANO         ;AV ALVAREZ THOMAS   ;7
2095;AV DE LOS INCAS     ;2744;AV AMANCIO ALCORTA  ;AV COSTANERA INT HER;8
2096;AV COBO             ;1678;AV BOYACA           ;AV CARABOBO         ;13
2097;AV CARABOBO         ;4245;AV CORRIENTES       ;AV ASTURIAS         ;9
2098;AV DE LOS INCAS     ;2631;AV DEL CAMPO        ;AV DEL LIBERTADOR   ;11
2099;AV CARLOS J FINLAY  ;2568;AV ASAMBLEA         ;AV CHORROARIN       ;13
2100;AV ARGENTINA        ;2075;AV ALVEAR           ;AV CORRIENTES       ;2
2101;AV DE LOS INCAS     ;4039;AV ARGENTINA        ;AV CARLOS J FINLAY  ;7
2102;AV CORBETA URUGUAY  ;3915;AV 9 DE JULIO       ;AV 27 DE FEBRERO    ;1
2103;AV CASEROS          ;2090;AV DE LOS INCAS     ;AV COLOMBIA         ;13
2104;AV CANONIGO MIGUEL C;2925;AV BELISARIO ROLDAN ;AV BOYACA           ;6
2105;AV CASEROS          ;4851;AV CANONIGO MIGUEL C;AV CHORROARIN       ;12
2106;AV DEL CAMPO        ;4132;AV COSTANERA INT HER;AV BELGRANO         ;5
2107;AV ALMAFUERTE       ;1861;AV DIRECTORIO       ;AV ALMAFUERTE       ;9
2108;AV ADOLFO BERRO     ;2381;AV COBO             ;AV DE MAYO          ;7
2109;AV CNL CARDENAS     ;109;AV AVELLANEDA       ;AV ALMAFUERTE       ;4
2110;AV DE LOS CORRALES  ;3952;AV CNL NICETO VEGA  ;AV CORRIENTES       ;6
2111;AV CARABOBO         ;1100;AV CHORROARIN       ;AV ALVEAR           ;14
2112;AV DERQUI           ;3904;AV CDORO MARTIN RIVA;AV DEL BARCO CENTENE;13
2113;AV ALVAREZ JONTE    ;838;AV CABILDO          ;AV CURAPALIGUE      ;3
2114;AV CARLOS J FINLAY  ;1643;AV CASARES          ;AV ALBARELLOS       ;12
2115;AV ALVAREZ THOMAS   ;4686;AV CARABOBO         ;AV BELISARIO ROLDAN ;9
2116;AV CDORO MARTIN RIVA;3141;AV DEL BARCO CENTENE;AV ALMAFUERTE       ;3
2117;AV BELGRANO         ;1408;AV CABILDO          ;AV AMANCIO ALCORTA  ;2
2118;AV BRUIX            ;34;AV CNL NICETO VEGA  ;AV ALVAREZ JONTE    ;11
2119;AV ADOLFO BERRO     ;1924;AV DIRECTORIO       ;AV COBO             ;1
2120;AV CRISOLOGO LARRALD;1302;AV BOYACA           ;AV ALVAREZ JONTE BAJ;11
2121;AV COBO             ;3289;AV BOYACA           ;AV AVELLANEDA       ;11
2122;AV DE LOS CONSTITUYE;185;AV DIRECTORIO       ;AV DEL FOMENTISTA   ;9
2123;AV CNL NICETO VEGA  ;2029;AV ADOLFO BERRO     ;AV AVELLANEDA       ;9
2124;AV ASAMBLEA         ;205;AV CNL NICETO VEGA  ;AV 27 DE FEBRERO    ;5
2125;AV BELGRANO         ;2568;AV ALVEAR           ;AV BELISARIO ROLDAN ;7
2126;AV CNL DIAZ         ;3836;AV BELISARIO ROLDAN ;AV BELISARIO ROLDAN ;9
2127;AV CRISOLOGO LARRALD;3320;AV CNL CARDENAS     ;AV CASEROS          ;9
2128;AV ALVAREZ JONTE BAJ;4552;AV DE LAS CABALLERIZ;AV DE LAS CABALLERIZ;6
2129;AV CORRIENTES       ;2272;AV ALMAFUERTE       ;AV BOYACA           ;3
2130;AV CABILDO          ;4461;AV CORDOBA          ;AV CNL NICETO VEGA  ;4
2131;AV CASARES          ;4226;AV CNL ROCA         ;AV CNL NICETO VEGA  ;13
2132;AV COMODORO PY      ;4537;AV CASARES          ;AV CARLOS J FINLAY  ;10
2133;AV CNL ROCA         ;2944;AV COSTANERA INT HER;AV CABILDO          ;10
2134;AV ALVAREZ JONTE    ;1220;AV 9 DE JULIO       ;AV BOEDO            ;14
2135;AV DARACT           ;4031;AV COBO             ;AV 9 DE JULIO       ;3
2136;AV BELGRANO         ;4192;AV DE MAYO          ;AV ALVAREZ JONTE BAJ;8
2137;AV DE LOS CORRALES  ;1972;AV ARGENTINA        ;AV AMANCIO ALCORTA  ;12
2138;AV CORDOBA          ;3408;AV BRUIX            ;AV COLOMBIA         ;9
2139;AV DE LAS CABALLERIZ;196;AV BELGRANO         ;AV BRUIX            ;10
2140;AV DE LAS CABALLERIZ;318;AV ALMAFUERTE       ;AV CARABOBO         ;8
2141;AV CARABOBO         ;204;AV ADOLFO BERRO     ;AV ALVAREZ JONTE    ;11
2142;AV CABILDO          ;1584;AV COSTANERA INT HER;AV ALMAFUERTE       ;5
2143;AV ARGENTINA        ;1938;AV CORDOBA          ;AV DE LAS CABALLERIZ;10
2144;AV DERQUI           ;1720;AV DE LOS INMIGRANTE;AV ALBARELLOS       ;14
2145;AV CNL CARDENAS     ;95;AV ALVEAR           ;AV COMODORO PY      ;9
2146;AV CNL NICETO VEGA  ;4811;AV DE LOS CORRALES  ;AV CANONIGO MIGUEL C;5
2147;AV CDORO MARTIN RIVA;3856;AV CABILDO          ;AV CALLAO           ;14
2148;AV COBO             ;4685;AV DEL LIBERTADOR   ;AV CORRIENTES       ;11
2149;AV CABILDO          ;2648;AV DEL LIBERTADOR   ;AV COSTANERA RAFAEL ;2
2150;AV DE MAYO          ;4596;AV AVELLANEDA       ;AV BRUIX            ;5
2151;AV CARABOBO         ;1363;AV BRUIX            ;AV CASARES          ;13
2152;AV DE LOS CORRALES  ;825;AV DE LA RABIDA     ;AV DARACT           ;1
2153;AV CNL DIAZ         ;1287;AV CASARES          ;AV DIRECTORIO       ;5
2154;AV CABILDO          ;2369;AV CDORO MARTIN RIVA;AV ALMAFUERTE       ;11
2155;AV CASARES          ;167;AV CNL CARDENAS     ;AV DIAZ VELEZ       ;12
2156;AV ADOLFO BERRO     ;1223;AV CORRIENTES       ;AV DE LOS CONSTITUYE;8
2157;AV DARACT           ;4824;AV CANONIGO MIGUEL C;AV DE MAYO          ;11
2158;AV CORBETA URUGUAY  ;2705;AV COSTANERA INT HER;AV BELISARIO ROLDAN ;10
2159;AV DARACT           ;3677;AV BOYACA           ;AV ASTURIAS         ;10
2160;AV BELISARIO ROLDAN ;373;AV 9 DE JULIO       ;AV BOYACA           ;1
2161;AV COMODORO PY      ;3289;AV BOYACA           ;AV DEL CAMPO        ;5
2162;AV DE LA RABIDA     ;2405;AV ALVAREZ THOMAS   ;AV CRISOLOGO LARRALD;4
